"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"asalnya";1;"asalna";"n";"--";"--";"asal"
"asap";1;"haseup";"n";"--";"--";"haseup"
"asas";1;"asas";"n";"--";"--";"asas"
"asasi";1;"asasi";"a";"--";"--";"asasi"
"ashar";1;"asar";"n";"agama";"--";"asar"
"asin";1;"asin";"a";"rasa";"--";"asin"
"asing";1;"asing";"a";"--";"--";"asing"
"asing";1;"deungeun";"a";"--";"--";"deungeun"
"asli";1;"pituin";"a";"--";"--";"pituin"
"asli";1;"asli";"a";"--";"--";"asli"
"aslinya";1;"aslina";"n";"--";"--";"asli"
"asma";1;"mengi";"n";"--";"--";"mengi"
"aspal";1;"aspal";"n";"--";"--";"aspal"
"aspek";1;"aspék";"n";"--";"--";"aspék"
"asrama";1;"asrama";"n";"--";"--";"asrama"
"asri";1;"asri";"a";"--";"--";"asri"
"asyik";1;"uplek";"a";"--";"--";"uplek"
"atap";1;"hateup";"n";"--";"--";"hateup"
"atas";1;"luhur";"a";"--";"--";"luhur"
"atasannya";1;"saluhureunana";"n";"--";"--";"luhur"
"atasnya";1;"luhurna";"--";"--";"--";"luhur"
"atlet";1;"atlét";"n";"--";"--";"atlét"
"aturan";1;"aturan";"n";"--";"--";"atur"
"awal";1;"mimiti";"a";"tempat";"--";"mimiti"
"awalnya";1;"awalna";"ad";"--";"--";"awal"
"awalnya";1;"mimitina";"ad";"--";"--";"mimiti"
"awet";1;"awét";"a";"--";"--";"awet"
"awut-awutan";1;"pabaliut";"a";"--";"--";"baliut"
"ayam";1;"kotok";"n";"sato";"--";"kotok"
"ayam";1;"hayam";"n";"sato";"--";"hayam"
"ayat";1;"ayat";"n";"--";"--";"ayat"
"bab";1;"bab";"n";"--";"--";"babar"
"babak";1;"babak";"n";"--";"--";"babak"
"babakan";1;"babakan";"n";"--";"--";"babak"
"baca";1;"maca";"v";"--";"--";"baca"
"dibaca";1;"dibaca";"vp";"--";"--";"baca"
"bacaan";1;"bacaan";"n";"--";"--";"baca"
"badan";0;"badan";"n";"awak";"--";"awak"
"badan";1;"awak";"n";"--";"--";"awak"
"badannya";1;"awakna";"n";"--";"--";"awak"
"bagaikan";1;"kawas";"--";"--";"--";"kawas"
"bagi";0;"pasi";"vi";;;"pasi"
"bagi";0;"bagé";"vi";;;"bagé"
"bagian";1;"bagian";"n";"--";"--";"bagi"
"bagus";1;"alus";"a";"--";"--";"alus"
"bahagia";1;"bagja";"a";"--";"--";"bagja"
"bahan";1;"bahan";"n";"--";"--";"bahan"
"bahasa";1;"basa";"n";"--";"--";"basa"
"bahasanya";1;"basana";"n";"--";"--";"basa"
"baik";1;"alus";"a";"--";"--";"alus"
"baiklah";1;"mangga";"v";"--";"--";"mangga"
"baiknya";1;"alusna";"--";"--";"--";"alus"
"bait";1;"pada";"n";"--";"--";"pada"
"baja";1;"waja";"n";"--";"--";"waja"
"bajakan";1;"bajoan";"n";"--";"--";"bajo"
"bajigur";1;"bajigur";"n";"--";"--";"bajigur"
"baju";1;"baju";"n";"--";"--";"baju"
"bakar";1;"duruk";"v";"--";"--";"duruk"
"bakar";1;"huru";"v";"--";"--";"huru"
"bakar";1;"beuleum";"v";"--";"--";"beuleum"
"bakat";1;"bakat";"n";"--";"--";"bakat"
"bakti";1;"baktos";"v";"--";"--";"baktos"
"bakul";1;"boboko";"n";"--";"--";"boboko"
"balai";1;"balé";"n";"--";"--";"bale"
"balas";1;"bales";"v";"--";"--";"bales"
"balasan";1;"balesan";"n";"--";"--";"bales"
"balik";1;"balik";"v";"--";"--";"balik"
