"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"hanyalah";1;"saukur";"ad";"--";"--";"ukur"
"harus";1;"kudu";"m";"--";"--";"kudu"
"mesti";1;"kudu";"m";"--";"--";"kudu"
"hendaknya";1;"hadéna";"ad";"--";"--";"hadé"
"hingga";1;"nepi ka";"p";"--";"--";"nepi ka"
"ia";1;"manéhna";"pn";"jalma-3";"--";"manéh"
"ibu";0;"ibu";;;;"ibu"
"ingin";1;"hayang";"m";"--";"--";"hayang"
"inilah";1;"ieu pisan";"--";"--";"--";"ieu"
"isteri";1;"pamajikan";"pn";"pancakaki";"--";"pamajikan"
"istri";1;"pamajikan";"pn";"pancakaki";"--";"pamajikan"
"itu";1;"éta";"pn";"--";"--";"éta"
"itulah";1;"éta pisan";"--";"--";"--";"éta pisan"
"jangan";0;"entong";"ad";;;"entong"
"jangan";1;"ulah";"ad";"--";"--";"ulah"
"jangan";0;"tong";"ad";;;"tong"
"janganlah";1;"ulah";"ad";"--";"--";"ulah"
"jika";1;"lamun";"c";"--";"--";"lamun"
"juga";1;"ogé";"ad";"--";"--";"ogé"
"kadang";1;"sakapeung";"ad";"--";"--";"kapeung"
"kadang-kadang";1;"sakapeung";"ad";"waktu";"--";"kapeung"
"kakak";1;"lanceuk";"pn";"pancakaki";"--";"lanceuk"
"kakak";0;"akang";"pn";;;"akang"
"kakek";1;"aki";"pn";"pancakaki";"--";"aki"
"kala";1;"basa";"ad";"waktu";"--";"basa"
"kalau";1;"lamun";"c";"--";"--";"lamun"
"kalaupun";1;"lamun";"c";"--";"--";"lamun"
"kalian";1;"maranéh";"pn";"jalma-2";"--";"manéh"
"kalo";1;"lamun";"c";"--";"--";"lamun"
"kami";0;"urang";"pn";"jalma-2";"--";"urang"
"kami";1;"kami";"pn";"jalma-1";"--";"kami"
"kamu";1;"manéh";"pn";"jalma-2";"--";"manéh"
"kapan";1;"iraha";"q";"--";"--";"iraha"
"karena";1;"alatan";"c";"--";;"alatan"
"karena";0;"pédah";"c";"--";"--";"pédah"
"karenanya";1;"lantaran éta";"c";"--";"--";"lantaran"
"kayak";1;"jiga";"c";"--";"--";"jiga"
"kayaknya";1;"jigana";"c";"--";"--";"jiga"
"ke";1;"ka";"p";"tempat";"--";"ka"
